published_doi,biorxiv_doi,published_doi,preprint_title,preprint_category,preprint_date,published_date,published_citation_count,days_to_publish,pub_prefix,pub_name,journal
10.3389/fnsys.2016.00088,10.1101/082719,10.3389/fnsys.2016.00088,The demise of the synapse as the locus of memory: A looming paradigm shift?,neuroscience,2016-10-24,2016-11-17,2,24.0,10.3389,Frontiers Media SA,Frontiers in Systems Neuroscience
10.1016/j.neuroimage.2016.11.005,10.1101/085506,10.1016/j.neuroimage.2016.11.005,Predicting brain-age from multimodal imaging data captures cognitive impairment,neuroscience,2016-11-07,2016-11-23,19,16.0,10.1016,Elsevier,NeuroImage
10.1038/ncomms13808,10.1101/081471,10.1038/ncomms13808,Oscillatory integration windows in neurons,neuroscience,2016-10-17,2016-12-15,4,59.0,10.1038,Nature Publishing Group,Nature Communications
10.7554/elife.18566,10.1101/087403,10.7554/eLife.18566,Interneuronal mechanisms of hippocampal theta oscillation in a full-scale model of the rodent CA1 circuit,neuroscience,2016-11-12,2016-12-23,8,41.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1016/j.neuroimage.2017.01.001,10.1101/084194,10.1016/j.neuroimage.2017.01.001,Dual origins of measured phase-amplitude coupling reveal distinct neural mechanisms underlying episodic memory in the human cortex,neuroscience,2016-10-28,2017-01-06,9,70.0,10.1016,Elsevier,NeuroImage
10.1007/s11434-016-1202-z,10.1101/086454,10.1007/s11434-016-1202-z,Segregation between the parietal memory network and the default mode network: Effects of spatial smoothing and model order in ICA,neuroscience,2016-11-09,2016-12-05,3,26.0,10.1007,Springer-Verlag,
10.1016/j.cub.2016.11.045,10.1101/081083,10.1016/j.cub.2016.11.045,Sexually dimorphic differentiation of a C. elegans hub neuron is cell-autonomously controlled by a conserved transcription factor,neuroscience,2016-10-14,2017-01-02,7,80.0,10.1016,Elsevier,Current Biology
10.1016/j.neuroimage.2016.12.040,10.1101/081604,10.1016/j.neuroimage.2016.12.040,The effect of acquisition resolution on orientation decoding from V1 BOLD fMRI at 7 Tesla,neuroscience,2016-10-17,2017-01-04,5,79.0,10.1016,Elsevier,NeuroImage
10.1103/physreve.94.062409,10.1101/081356,10.1103/PhysRevE.94.062409,Complete coverage of space favors modularity of the grid system in the brain,neuroscience,2016-10-16,2016-12-10,2,55.0,10.1103,American Physical Society,Physical Review E
10.1038/srep40304,10.1101/082487,10.1038/srep40304,Regulation of sleep plasticity by a thermo-sensitive circuit in Drosophila,neuroscience,2016-10-21,2017-01-13,7,84.0,10.1038,Nature Publishing Group,Scientific Reports
10.1016/j.jneumeth.2016.12.016,10.1101/097402,10.1016/j.jneumeth.2016.12.016,Comparison of linear spatial filters for identifying oscillatory activity in multichannel data,neuroscience,2016-12-30,2016-12-27,4,-3.0,10.1016,Elsevier,Journal of Neuroscience Methods
10.1002/hbm.23517,10.1101/087197,10.1002/hbm.23517,Test-retest reliability of functional connectivity networks during naturalistic fMRI paradigms,neuroscience,2016-11-11,2017-01-17,7,67.0,10.1002,Wiley Blackwell (John Wiley & Sons),Human Brain Mapping
10.1371/journal.pone.0170586,10.1101/083006,10.1371/journal.pone.0170586,"Automated remote focusing, drift correction, and photostimulation to evaluate structural plasticity in dendritic spines",neuroscience,2016-10-24,2017-01-23,4,91.0,10.1371,Public Library of Science,PLOS ONE
10.1371/journal.pone.0168993,10.1101/083592,10.1371/journal.pone.0168993,RECONSTRUCTION OF THE CORTICAL MAPS OF THE TASMANIAN TIGER AND COMPARISON TO THE TASMANIAN DEVIL,neuroscience,2016-10-26,2017-01-18,1,84.0,10.1371,Public Library of Science,PLOS ONE
10.1016/j.celrep.2016.12.080,10.1101/069880,10.1016/j.celrep.2016.12.080,Stability and plasticity of contextual modulation in the mouse visual cortex,neuroscience,2016-11-08,2017-01-24,1,77.0,10.1016,Elsevier,Cell Reports
10.7554/elife.21792,10.1101/099184,10.7554/eLife.21792,Multivariate cross-frequency coupling via generalized eigendecomposition,neuroscience,2017-01-09,2017-01-24,4,15.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1523/jneurosci.3272-16.2017,10.1101/083022,10.1523/JNEUROSCI.3272-16.2017,Neural differentiation of incorrectly predicted memories,neuroscience,2016-10-24,2017-01-23,6,91.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
10.1111/ejn.13532,10.1101/082610,10.1111/ejn.13532,Neuronal responses support a role for orbitofrontal cortex in cognitive set reconfiguration,neuroscience,2016-10-22,2017-02-08,3,109.0,10.1111,10.1111,European Journal of Neuroscience
10.1523/jneurosci.3413-16.2017,10.1101/082693,10.1523/JNEUROSCI.3413-16.2017,Electrophysiological correlates of phosphene perception induced by stimulation of human occipital and parietal cortex,neuroscience,2016-10-22,2017-02-08,15,109.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
